,경기,선발,완투,완봉,QS,타자,안타,2루타,3루타,홈런,실점,자책,삼진,볼넷,고4,HBP,폭투,보크,PK,도루,도실
켈리,163,163,3,2,109,4101,942,146,12,68,403,357,753,240,4,52,40,1,6,76,27
최원태,175,168,1,0,81,3996,955,155,8,67,476,427,651,304,6,50,33,0,4,134,27
윌슨,81,81,2,1,56,2080,490,73,7,31,221,189,395,118,2,24,19,2,3,63,16
임찬규,181,156,0,0,50,3768,897,153,15,86,457,419,716,335,4,44,27,0,5,64,25
소사,43,43,1,1,28,1147,277,50,1,31,125,111,277,51,1,6,9,1,0,25,8
플럿코,49,49,0,0,33,1154,240,39,5,18,90,76,250,69,3,5,7,0,0,22,6
정찬헌,159,80,3,2,36,2074,539,101,6,41,256,235,287,132,6,26,13,0,1,63,20
함덕주,260,9,0,0,1,1201,226,36,5,17,105,97,276,145,11,12,15,0,2,20,6
김윤식,99,54,0,0,14,1429,370,62,6,19,172,161,218,113,4,16,10,2,2,29,13
차우찬,76,75,1,0,33,1878,445,83,6,53,259,243,323,179,3,20,24,0,6,21,12
엔스,30,30,0,0,13,714,169,29,3,16,84,78,157,50,0,6,4,0,0,22,7
수아레즈,23,22,0,0,10,473,91,16,2,4,33,28,126,41,0,4,2,0,0,8,4
이민호,76,69,0,0,19,1542,351,63,5,33,194,179,247,142,2,31,19,1,3,17,7
이정용,202,13,0,0,5,1063,240,50,4,18,111,99,197,74,4,7,6,1,0,16,4
손주영,45,41,0,0,13,930,223,29,3,15,121,109,153,102,0,16,8,0,1,11,7
배재준,68,28,0,0,6,742,161,42,4,7,96,80,131,82,0,16,8,0,1,12,8
에르난데스,11,9,0,0,2,195,41,6,1,5,21,21,55,16,0,2,1,0,0,4,1
김유영,159,2,0,0,0,589,148,26,1,7,81,71,108,67,4,9,10,0,0,7,4
송은범,260,1,0,0,0,1189,300,34,4,16,129,116,161,104,8,11,17,0,1,29,8
임준형,34,10,0,0,2,297,76,13,0,4,40,38,60,23,0,9,2,0,0,4,1
이우찬,168,20,0,0,4,1109,232,35,3,14,150,137,192,170,2,12,18,2,1,18,10
김대현,145,23,0,0,3,1139,293,55,9,32,184,167,169,121,2,18,18,2,3,14,7
신정락,207,2,0,0,0,936,231,41,3,24,146,129,170,87,7,27,11,0,0,20,5
장원삼,29,15,0,0,4,401,116,25,1,13,72,68,49,26,1,6,1,0,0,5,3
류제국,11,11,0,0,3,243,57,7,2,5,27,25,31,26,1,4,2,0,0,10,3
남호,11,3,0,0,0,95,16,4,1,1,12,11,16,15,0,1,0,0,0,1,0
이지강,72,15,0,0,1,605,133,20,0,9,86,63,83,67,0,11,9,0,0,7,3
성재헌,34,1,0,0,0,179,52,14,2,1,31,28,21,17,2,6,2,1,0,3,1
강효종,9,9,0,0,0,134,32,3,0,2,23,20,20,19,0,2,0,1,0,3,2
여건욱,68,1,0,0,0,357,98,28,2,11,51,47,57,20,1,8,6,0,0,2,3
이믿음,1,1,0,0,0,27,11,2,0,0,7,7,2,4,0,0,0,0,0,1,0
정용운,6,3,0,0,0,54,13,1,0,1,10,10,8,9,0,0,1,0,0,2,1
우강훈,17,1,0,0,0,86,17,2,0,0,11,8,15,12,0,7,2,0,0,1,0
강정현,7,1,0,0,0,48,9,1,0,3,6,6,8,6,0,2,0,0,0,0,0
박명근,90,1,0,0,0,356,78,13,0,10,51,47,53,40,2,9,1,0,0,5,0
김영준,31,4,0,0,1,222,49,5,0,6,32,27,34,29,1,6,6,0,0,9,3
이상규,65,3,0,0,0,367,99,19,2,10,51,51,55,44,1,4,4,0,0,4,0
심수창,8,1,0,0,0,70,24,3,0,3,12,12,14,7,0,0,0,0,0,3,2
유원석,13,1,0,0,0,90,12,4,0,2,21,13,18,25,0,6,1,0,0,2,0
임지섭,10,2,0,0,0,65,16,2,0,3,17,15,13,15,0,1,3,0,0,4,0
이상영,38,14,0,0,0,373,84,13,0,9,44,39,43,48,0,16,5,0,1,11,2
